2.2	0
4.4	0
6.6	0
8.8	0
11	0
13.2	0
15.4	0
17.5	0
19.7	0
21.9	0
24.1	0
26.3	0
28.5	0
30.5	0
32.7	0
34.9	0
37.1	0
39.3	0
41.5	0
43.7	0
45.9	0
48.1	0
50.2	0
52.3	0
54.5	0
56.7	0
58.9	0
61.1	0
63.3	0
65.4	0
67.6	0
69.8	0
72	0
74.2	0
76.4	0
78.5	0
80.7	0
82.9	0
85.1	0
87.3	0
89.5	0
91.7	0
93.9	0
96.1	0
98.3	0
2.2	1
4.4	1
6.6	1
8.8	1
11	1
13.2	1
15.4	1
17.6	1
19.8	1
22	1
24.2	1
26.4	1
28.6	1
30.8	1
32.9	1
35.1	1
37.3	1
39.5	1
41.7	1
43.9	1
46	1
48.2	1
50.4	1
52.6	1
54.8	1
57	1
59.2	1
61.4	1
63.6	1
65.8	1
68	1
70.2	1
72.3	1
74.5	1
76.7	1
78.9	1
81.1	1
83.3	1
85.5	1
87.7	1
89.9	1
91.9	1
94	1
96.1	1
98.3	1
2.2	2
4.4	2
6.6	2
8.8	2
11	2
13.2	2
15.4	2
17.6	2
19.8	2
21.9	2
24	2
26.1	2
28.3	2
30.4	2
32.6	2
34.8	2
36.9	2
39.1	2
41.2	2
43.4	2
45.6	2
47.8	2
50	2
52.2	2
54.3	2
56.5	2
58.7	2
60.8	2
63	2
65.2	2
67.4	2
69.6	2
71.7	2
73.8	2
76	2
78.1	2
80.3	2
82.5	2
84.7	2
86.9	2
89	2
91.2	2
93.4	2
95.6	2
97.8	2
2.2	3
4.4	3
6.5	3
8.7	3
10.9	3
13.1	3
15.2	3
17.4	3
19.5	3
21.7	3
23.9	3
26.1	3
28.3	3
30.5	3
32.6	3
34.8	3
37	3
39.2	3
41.4	3
43.6	3
45.8	3
48	3
50.2	3
52.4	3
54.5	3
56.7	3
58.8	3
61	3
63.2	3
65.4	3
67.6	3
69.8	3
72	3
74.2	3
76.4	3
78.6	3
80.8	3
83	3
85.1	3
87.3	3
89.5	3
91.7	3
93.9	3
96.1	3
98.2	3
2.2	4
4.4	4
6.6	4
8.8	4
11	4
13.2	4
15.4	4
17.3	4
19.5	4
21.6	4
23.8	4
26	4
28.1	4
30.3	4
32.4	4
34.6	4
36.8	4
39	4
41.2	4
43.3	4
45.5	4
47.6	4
49.8	4
52	4
54.2	4
56.4	4
58.6	4
60.8	4
63	4
65.2	4
67.4	4
69.6	4
71.8	4
74	4
76.2	4
78.4	4
80.6	4
82.8	4
85	4
87.2	4
89.4	4
91.6	4
93.8	4
96	4
98.2	4
2.2	5
4.4	5
6.6	5
8.8	5
10.9	5
13.1	5
15.3	5
17.4	5
19.6	5
21.8	5
24	5
26.1	5
28.3	5
30.5	5
32.7	5
34.8	5
37	5
39.2	5
41.4	5
43.6	5
45.7	5
47.8	5
50	5
52.2	5
54.4	5
56.6	5
58.8	5
60.9	5
63.1	5
65.2	5
67.4	5
69.6	5
71.8	5
74	5
76.2	5
78.3	5
80.4	5
82.6	5
84.8	5
86.9	5
89.1	5
91.3	5
93.5	5
95.7	5
97.9	5
2.2	6
4.4	6
6.5	6
8.7	6
10.9	6
13.1	6
15.3	6
17.4	6
19.6	6
21.8	6
24	6
26.2	6
28.4	6
30.6	6
32.8	6
35	6
37.2	6
39.4	6
41.6	6
43.7	6
45.9	6
48.1	6
50.3	6
52.5	6
54.7	6
56.9	6
59.1	6
61.3	6
63.4	6
65.6	6
67.8	6
70	6
72.2	6
74.2	6
76.4	6
78.6	6
80.8	6
83	6
85.1	6
87.3	6
89.5	6
91.6	6
93.8	6
96	6
98.2	6
2.2	7
4.4	7
6.6	7
8.8	7
10.9	7
13	7
15.2	7
17.3	7
19.4	7
21.6	7
23.6	7
25.8	7
28	7
30.2	7
32.4	7
34.5	7
36.7	7
38.8	7
41	7
43.2	7
45.4	7
47.6	7
49.8	7
52	7
54.2	7
56.4	7
58.6	7
60.8	7
63	7
65.2	7
67.3	7
69.5	7
71.7	7
73.9	7
76.1	7
78.3	7
80.5	7
82.7	7
84.9	7
87	7
89.2	7
91.4	7
93.6	7
95.8	7
97.9	7
2.2	8
